Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841259, Image Name = elps_eye35_2015-06-04_09-35-45-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841235, Image Name = elps_eye35_2015-06-05_02-56-45-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841093, Image Name = elps_eye35_2015-06-05_02-57-00-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836725, Image Name = elps_eye35_2015-06-04_09-19-30-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836719, Image Name = elps_eye35_2015-06-04_09-21-00-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836696, Image Name = elps_eye35_2015-06-04_09-21-15-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836670, Image Name = elps_eye35_2015-06-04_09-20-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836657, Image Name = elps_eye35_2015-06-04_09-22-30-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836656, Image Name = elps_eye35_2015-06-04_09-21-30-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836633, Image Name = elps_eye35_2015-06-04_09-20-30-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836597, Image Name = elps_eye35_2015-06-04_09-23-15-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836573, Image Name = elps_eye35_2015-06-04_09-25-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836546, Image Name = elps_eye35_2015-06-04_09-23-00-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836547, Image Name = elps_eye35_2015-06-04_09-19-00-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836545, Image Name = elps_eye35_2015-06-04_09-19-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836427, Image Name = elps_eye35_2015-06-04_09-23-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836425, Image Name = elps_eye35_2015-06-04_09-20-00-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 836418, Image Name = elps_eye35_2015-06-04_09-22-00-003.png, Width = 320, Height = 240
